Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	2.0	['B4']
2.0	1	3.0	0.5	1.0	
3.0	2	1.0	1.0	1.0	['B4']
4.0	2	2.0	0.5	0.5	['B4']
4.5	2	2.5	0.25	0.5	['G4', 'B4']
5.0	2	3.0	0.5	0.5	['B2', 'A3', 'B3', 'G4', 'B4']
5.5	2	3.5	0.25	0.5	['B2', 'A3', 'B3', 'F#4', 'B4']
6.0	3	1.0	1.0	0.5	['E3', 'G3', 'B3', 'D#4', 'B4']
6.5	3	1.5	0.25	0.5	['E3', 'G3', 'B3', 'E4', 'B4']
7.0	3	2.0	0.5	0.5	['E3', 'G3', 'G4', 'B4']
7.5	3	2.5	0.25	0.5	['E3', 'G3', 'B4']
8.0	3	3.0	0.5	0.5	['C#4', 'G4', 'B4', 'F#5']
8.5	3	3.5	0.25	0.5	['C#4', 'G4', 'B4', 'E5']
9.0	4	1.0	1.0	0.5	['D4', 'G4', 'B4', 'E5']
9.5	4	1.5	0.25	0.5	['D4', 'G4', 'B4', 'D5']
10.0	4	2.0	0.5	0.5	['D4', 'G4', 'B4']
10.5	4	2.5	0.25	0.5	['D4', 'G4', 'B4', 'D5']
11.0	4	3.0	0.5	0.5	['E4', 'G4', 'B4', 'A5']
11.5	4	3.5	0.25	0.5	['E4', 'G4', 'B4', 'G5']
12.0	5	1.0	1.0	0.5	['D#4', 'G4', 'B4', 'G5']
12.5	5	1.5	0.25	0.5	['D#4', 'G4', 'B4', 'F#5']
13.0	5	2.0	0.5	0.5	['D#4', 'A4', 'B4']
13.5	5	2.5	0.25	0.5	['D#4', 'A4', 'B4', 'A5']
14.0	5	3.0	0.5	0.5	['E4', 'G4', 'B4', 'A5']
14.5	5	3.5	0.25	0.5	['E4', 'G4', 'B4', 'G5']
15.0	6	1.0	1.0	0.5	['D#4', 'A4', 'B4', 'G5']
15.5	6	1.5	0.25	0.5	['D#4', 'A4', 'B4', 'F#5']
16.0	6	2.0	0.5	0.5	['E4', 'G4', 'B4', 'F#5']
16.5	6	2.5	0.25	0.5	['E4', 'G4', 'B4', 'E5']
17.0	6	3.0	0.5	0.5	['C#4', 'G4', 'B4', 'F#5']
17.5	6	3.5	0.25	0.5	['C#4', 'G4', 'B4', 'G5']
18.0	7	1.0	1.0	0.5	['D4', 'B4', 'G5']
18.5	7	1.5	0.25	0.5	['D4', 'G4', 'B4']
19.0	7	2.0	0.5	0.5	['D3']
19.5	7	2.5	0.25	0.5	['D3', 'G4', 'B4']
20.0	7	3.0	0.5	0.5	['D3', 'G4', 'B4']
20.5	7	3.5	0.25	0.5	['D3', 'B3', 'G4']
21.0	8	1.0	1.0	0.5	['D3', 'B3', 'G4']
21.5	8	1.5	0.25	0.5	['D3', 'G3', 'B3']
22.0	8	2.0	0.5	0.5	['D2', 'D3']
22.5	8	2.5	0.25	0.5	['D2', 'D3', 'B3', 'G4', 'B4']
23.0	8	3.0	0.5	0.5	['D#2', 'D#3', 'B3', 'G4', 'B4']
23.5	8	3.5	0.25	0.5	['D#2', 'D#3', 'A3', 'F#4', 'B4']
24.0	9	1.0	1.0	0.5	['E2', 'E3', 'G3', 'B3', 'D#4', 'B4']
24.5	9	1.5	0.25	0.5	['E2', 'E3', 'G3', 'B3', 'E4', 'B4']
25.0	9	2.0	0.5	0.5	['G4', 'B4']
25.5	9	2.5	0.25	0.5	['B4']
26.0	9	3.0	0.5	0.5	['C#4', 'G4', 'B4', 'F#5']
26.5	9	3.5	0.25	0.5	['C#4', 'G4', 'B4', 'E5']
27.0	10	1.0	1.0	0.5	['D4', 'G4', 'B4', 'E5']
27.5	10	1.5	0.25	0.5	['D4', 'G4', 'B4', 'D5']
28.0	10	2.0	0.5	0.5	['D4', 'G4', 'B4']
28.5	10	2.5	0.25	0.5	['D4', 'G4', 'B4', 'D5']
29.0	10	3.0	0.5	0.5	['E4', 'G4', 'B4', 'A5']
29.5	10	3.5	0.25	0.5	['E4', 'G4', 'B4', 'G5']
30.0	11	1.0	1.0	0.5	['D#4', 'G4', 'B4', 'G5']
30.5	11	1.5	0.25	0.5	['D#4', 'G4', 'B4', 'F#5']
31.0	11	2.0	0.5	0.5	['D#4', 'A4', 'B4']
31.5	11	2.5	0.25	0.5	['D#4', 'A4', 'B4', 'A5']
32.0	11	3.0	0.5	0.5	['E4', 'G4', 'B4', 'A5']
