Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.5	['B2', 'G4', 'B4', 'D5']
0.5	1	1.5	0.125	0.5	['B2', 'F#3', 'F#4', 'B4', 'D5']
1.0	1	2.0	0.25	0.5	['B2', 'F#3', 'E#4', 'B4', 'D5']
1.5	1	2.5	0.125	0.5	['B2', 'F#3', 'E#4', 'B4', 'D5']
2.0	1	3.0	0.5	0.5	['B2', 'F#4', 'A#4', 'C#5']
2.5	1	3.5	0.125	0.5	['B2', 'F#3', 'E#4', 'A#4', 'C#5']
3.0	1	4.0	0.25	0.5	['B2', 'F#3', 'E4', 'A#4', 'C#5']
3.5	1	4.5	0.125	0.5	['B2', 'F#3', 'E4', 'A#4', 'C#5']
4.0	2	1.0	1.0	0.5	['B2', 'D4', 'B4']
4.5	2	1.5	0.125	0.5	['B2', 'F#3', 'D4', 'E4', 'B4']
5.0	2	2.0	0.25	0.5	['B2', 'F#3', 'D4', 'F#4', 'B4']
5.5	2	2.5	0.125	0.5	['B2', 'F#3', 'D4', 'F#4', 'B4']
6.0	2	3.0	0.5	0.5	['B2', 'B3', 'G4']
6.5	2	3.5	0.125	0.5	['B2', 'F#3', 'C#4', 'G4']
7.0	2	4.0	0.25	0.5	['B2', 'F#3', 'D4', 'G4']
7.5	2	4.5	0.125	0.5	['B2', 'F#3', 'D4', 'G4']
8.0	3	1.0	1.0	0.5	['B2', 'A#3', 'C#4', 'F#4']
8.5	3	1.5	0.125	0.5	['B2', 'F#3', 'B3', 'D4', 'F#4']
9.0	3	2.0	0.25	0.5	['B2', 'F#3', 'C#4', 'E4', 'F#4']
9.5	3	2.5	0.125	0.5	['B2', 'F#3', 'C#4', 'E4', 'F#4']
10.0	3	3.0	0.5	0.5	['B2', 'G#3', 'B3', 'E4']
10.5	3	3.5	0.125	0.5	['B2', 'F#3', 'G#3', 'B3', 'E4']
11.0	3	4.0	0.25	0.5	['B2', 'F#3', 'A#3', 'C#4', 'E4']
11.5	3	4.5	0.125	0.5	['B2', 'F#3', 'A#3', 'C#4', 'E4']
12.0	4	1.0	1.0	0.5	['B2', 'B3', 'D4']
12.5	4	1.5	0.125	1.0	['B2', 'F#3', 'B3', 'D4']
13.5	4	2.5	0.125	0.5	['B2', 'F#3', 'B3', 'D4']
14.0	4	3.0	0.5	0.5	['B2', 'B3', 'D4', 'F#4']
14.5	4	3.5	0.125	0.5	['B2', 'F#3', 'B3', 'D4', 'F#4']
15.0	4	4.0	0.25	0.5	['B2', 'F#3', 'B3', 'D4', 'F#4']
15.5	4	4.5	0.125	0.5	['B2', 'F#3', 'B3', 'D4', 'F#4']
16.0	5	1.0	1.0	0.5	['B2', 'F#4', 'D5', 'F#5']
16.5	5	1.5	0.125	0.5	['B2', 'F#3', 'F#4', 'D5', 'F#5']
17.0	5	2.0	0.25	0.5	['B2', 'D4', 'F#4', 'D5', 'F#5']
17.5	5	2.5	0.125	0.5	['B2', 'F#3', 'F#4', 'D5', 'F#5']
18.0	5	3.0	0.5	0.5	['B2', 'G4', 'C#5', 'E5']
18.5	5	3.5	0.125	0.5	['B2', 'G3', 'G4', 'C#5', 'E5']
19.0	5	4.0	0.25	0.5	['B2', 'C#4', 'G4', 'C#5', 'E5']
19.5	5	4.5	0.125	0.5	['B2', 'G3', 'G4', 'C#5', 'E5']
20.0	6	1.0	1.0	0.5	['B2', 'F#4', 'D5']
20.5	6	1.5	0.125	0.5	['B2', 'F#3', 'F#4', 'D5', 'E5']
21.0	6	2.0	0.25	0.5	['B2', 'D4', 'F#4', 'D5', 'F#5']
21.5	6	2.5	0.125	0.5	['B2', 'F#3', 'F#4', 'D5', 'F#5']
22.0	6	3.0	0.5	0.5	['B2', 'B3', 'D4', 'B4']
22.5	6	3.5	0.125	0.5	['B2', 'F#3', 'C#4', 'E4', 'B4']
23.0	6	4.0	0.25	0.5	['B2', 'B3', 'D4', 'F#4', 'B4']
23.5	6	4.5	0.125	0.5	['B2', 'F#3', 'D4', 'F#4', 'B4']
24.0	7	1.0	1.0	0.5	['B2', 'C#4', 'E4', 'F#4']
24.5	7	1.5	0.125	0.5	['B2', 'F#3', 'B3', 'D4', 'F#4']
25.0	7	2.0	0.25	0.5	['B2', 'F#3', 'A#3', 'C#4', 'F#4']
25.5	7	2.5	0.125	0.5	['B2', 'F#3', 'A#3', 'C#4', 'F#4']
26.0	7	3.0	0.5	0.5	['B2', 'E4', 'G4', 'A#4']
26.5	7	3.5	0.125	0.5	['B2', 'F#3', 'D4', 'F#4', 'A#4']
27.0	7	4.0	0.25	0.5	['B2', 'F#3', 'C#4', 'E4', 'A#4']
27.5	7	4.5	0.125	0.5	['B2', 'F#3', 'C#4', 'E4', 'A#4']
28.0	8	1.0	1.0	0.5	['B2', 'D4', 'F#4', 'B4']
28.5	8	1.5	0.125	0.5	['B2', 'F#3', 'E4', 'G4', 'B4']
29.0	8	2.0	0.25	0.5	['B2', 'F#3', 'D4', 'F#4', 'B4']
29.5	8	2.5	0.125	0.5	['B2', 'F#3', 'C#4', 'E4', 'B4']
30.0	8	3.0	0.5	0.5	['B2', 'F#3', 'B3', 'D4', 'B4']
30.5	8	3.5	0.125	0.5	['B2', 'G3', 'B3', 'D4', 'B4']
31.0	8	4.0	0.25	0.5	['B2', 'F#3', 'B3', 'D4', 'F#4', 'B4']
31.5	8	4.5	0.125	0.5	['B2', 'D3', 'B3', 'D4', 'F#4', 'B4']
32.0	9	1.0	1.0	0.5	['B2', 'F#4', 'D5', 'F#5']
32.5	9	1.5	0.125	0.5	['B2', 'F#3', 'F#4', 'D5', 'F#5']
33.0	9	2.0	0.25	0.5	['B2', 'D4', 'F#4', 'D5', 'F#5']
33.5	9	2.5	0.125	0.5	['B2', 'F#3', 'F#4', 'D5', 'F#5']
34.0	9	3.0	0.5	0.5	['B2', 'G4', 'C#5', 'E5']
34.5	9	3.5	0.125	0.5	['B2', 'G3', 'G4', 'C#5', 'E5']
35.0	9	4.0	0.25	0.5	['B2', 'C#4', 'G4', 'C#5', 'E5']
