0.0	1	1	1.0	1.0	['A1', 'A2']
1.0	1	1.67	0.25	0.5	['A1', 'A2']
1.5	1	2	0.5	1.0	['A1', 'A2']
2.5	1	2.67	0.25	0.5	['A1', 'A2', 'E3']
3.0	2	1	1.0	0.5	['A2', 'C#3']
3.5	2	1.33	0.25	0.5	['A2', 'E3']
4.0	2	1.67	0.25	0.5	['A2', 'A3']
4.5	2	2	0.5	0.5	['A2', 'C#4']
5.0	2	2.33	0.25	0.5	['A2', 'E4']
5.5	2	2.67	0.25	0.5	['A2', 'F#3', 'A3', 'D4', 'A4']
6.0	3	1	1.0	1.0	['A2', 'G#3', 'B3', 'D4', 'G#4']
7.0	3	1.67	0.25	0.5	['A2', 'E3', 'B3', 'D4', 'F#4']
7.5	3	2	0.5	1.0	['A2', 'A3', 'C#4', 'E4']
8.5	3	2.67	0.25	0.5	['A2', 'D#3', 'A3', 'B3', 'F#4']
9.0	4	1	1.0	1.0	['A2', 'D3', 'G#3', 'B3', 'E4']
10.0	4	1.67	0.25	0.5	['A2', 'B2', 'E3', 'G#3', 'D4']
10.5	4	2	0.5	1.0	['A2', 'E3', 'A3', 'C#4']
11.5	4	2.67	0.25	0.5	['A2', 'E3', 'E4']
12.0	5	1	1.0	0.5	['A1', 'E2', 'A2', 'G#3', 'D4']
12.5	5	1.33	0.25	0.5	['A1', 'E2', 'A2', 'E3', 'D4']
13.0	5	1.67	0.25	0.5	['A1', 'E2', 'A2', 'E4']
13.5	5	2	0.5	0.5	['A1', 'E2', 'A2', 'A3', 'C#4']
14.0	5	2.33	0.25	0.5	['A1', 'E2', 'A2', 'E3', 'C#4']
14.5	5	2.67	0.25	0.5	['A1', 'E2', 'A2', 'E4']
15.0	6	1	1.0	0.5	['A1', 'E2', 'A2', 'G#3', 'D4']
15.5	6	1.33	0.25	0.5	['A1', 'E2', 'A2', 'E3', 'D4']
16.0	6	1.67	0.25	0.5	['A1', 'E2', 'A2', 'E4']
16.5	6	2	0.5	1.0	['A1', 'E2', 'A2', 'E3', 'A3', 'C#4']
17.5	6	2.67	0.25	0.5	['E5']
18.0	7	1	1.0	0.5	['A1', 'A2', 'C#4', 'E5']
18.5	7	1.33	0.25	0.5	['A1', 'A2', 'A3', 'C#5']
19.0	7	1.67	0.25	0.5	['A1', 'A2', 'E3', 'A4']
19.5	7	2	0.5	0.5	['A1', 'A2', 'C#3', 'E4']
20.0	7	2.33	0.25	0.5	['A1', 'A2', 'E3', 'A4']
20.5	7	2.67	0.25	0.5	['A1', 'A2', 'A3', 'C#5']
21.0	8	1	1.0	0.5	['B1', 'B2', 'D4', 'E5']
21.5	8	1.33	0.25	0.5	['B1', 'B2', 'G#3', 'D5']
22.0	8	1.67	0.25	0.5	['B1', 'B2', 'E3', 'C#5']
22.5	8	2	0.5	0.5	['B1', 'B2', 'D3', 'B4']
23.0	8	2.33	0.25	0.5	['B1', 'B2', 'E3', 'B4']
23.5	8	2.67	0.25	0.5	['B1', 'B2', 'G#3', 'E5']
24.0	9	1	1.0	0.5	['C#2', 'C#3', 'E3', 'A3', 'E5']
24.5	9	1.33	0.25	0.5	['C#2', 'C#3', 'E3', 'C#4', 'C#5']
25.0	9	1.67	0.25	0.5	['C#2', 'C#3', 'E3', 'E4', 'A4']
25.5	9	2	0.5	0.5	['D2', 'D3', 'F#3', 'A3', 'F#5']
26.0	9	2.33	0.25	0.5	['D2', 'D3', 'F#3', 'B3', 'D5']
26.5	9	2.67	0.25	0.5	['D#2', 'D#3', 'F#3', 'F#4', 'B4']
27.0	10	1	1.0	0.5	['E2', 'E3', 'G#3', 'B3', 'B4']
27.5	10	1.33	0.25	0.5	['E2', 'E3', 'B3', 'B4']
28.0	10	1.67	0.25	0.25	['A2', 'A3', 'D4', 'D5']
28.25	10	1.83	0.125	0.25	['A2', 'A3', 'C#4', 'C#5']
28.5	10	2	0.5	1.0	['E2', 'E3', 'G#3', 'B3', 'B4']
29.5	10	2.67	0.25	0.25	['A3', 'C#5']
29.75	10	2.83	0.125	0.25	['B3', 'D5']
30.0	11	1	1.0	0.5	['A1', 'A2', 'C#4', 'E5']
30.5	11	1.33	0.25	0.5	['A1', 'A2', 'A3', 'C#5']
31.0	11	1.67	0.25	0.5	['A1', 'A2', 'E3', 'A4']
31.5	11	2	0.5	0.5	['A1', 'A2', 'C#3', 'E4']
32.0	11	2.33	0.25	0.5	['A1', 'A2', 'E3', 'A4']
32.5	11	2.67	0.25	0.5	['A1', 'A2', 'A3', 'C#5']
33.0	12	1	1.0	0.5	['B1', 'B2', 'D4', 'E5']
33.5	12	1.33	0.25	0.5	['B1', 'B2', 'G#3', 'D5']
34.0	12	1.67	0.25	0.5	['B1', 'B2', 'E3', 'C#5']
34.5	12	2	0.5	0.5	['B1', 'B2', 'D3', 'B4']
35.0	12	2.33	0.25	0.5	['B1', 'B2', 'E3', 'B4']
35.5	12	2.67	0.25	0.5	['B1', 'B2', 'G#3', 'D5']
36.0	13	1	1.0	0.5	['G#1', 'G#2', 'E#3', 'C#5']
36.5	13	1.33	0.25	0.5	['G#1', 'G#2', 'B3', 'D5']
37.0	13	1.67	0.25	0.5	['G#1', 'G#2', 'C#4', 'C#5']
37.5	13	2	0.5	0.5	['A1', 'A2', 'F#3', 'C#5']
38.0	13	2.33	0.25	0.5	['A1', 'A2', 'A3', 'F#5']
38.5	13	2.67	0.25	0.5	['A1', 'A2', 'C#4', 'E5']
39.0	14	1	1.0	0.5	['B1', 'B2', 'F#3', 'D#5']
39.5	14	1.33	0.25	0.5	['B1', 'B2', 'A3', 'C#5']
40.0	14	1.67	0.25	0.5	['B1', 'B2', 'B3', 'D#5']
40.5	14	2	0.5	0.5	['E2', 'G#3', 'E5']
41.0	14	2.33	0.25	0.5	['E2', 'B3', 'E5']
41.5	14	2.67	0.25	0.5	['G#2', 'E4', 'E5']
42.0	15	1	1.0	0.5	['B1', 'B2', 'A3', 'D#4', 'F#4']
42.5	15	1.33	0.25	0.5	['B1', 'B2', 'A3', 'D#4', 'G#4']
43.0	15	1.67	0.25	0.5	['B1', 'B2', 'A3', 'D#4', 'F#4']
43.5	15	2	0.5	0.5	['E2', 'G#3', 'E4']
44.0	15	2.33	0.25	0.5	['F#2', 'A3', 'D#4']
44.5	15	2.67	0.25	0.5	['G#2', 'B3', 'D4']
45.0	16	1	1.0	0.5	['A2', 'E3', 'C#5']
45.5	16	1.33	0.25	0.5	['A2', 'A3', 'C#5']
46.0	16	1.67	0.25	0.5	['A2', 'C#4', 'C#5']
46.5	16	2	0.5	0.5	['D2', 'D3', 'B4']
47.0	16	2.33	0.25	0.5	['D2', 'F#3', 'C#5']
47.5	16	2.67	0.25	0.5	['D2', 'B3', 'B4']
48.0	17	1	1.0	0.5	['E2', 'C#3', 'A4']
48.5	17	1.33	0.25	0.5	['E2', 'E3', 'C#5']
49.0	17	1.67	0.25	0.5	['E2', 'A3', 'F#5']
49.5	17	2	0.5	0.5	['E2', 'B2', 'E5']
50.0	17	2.33	0.25	0.5	['E2', 'E3', 'E5']
50.5	17	2.67	0.25	0.5	['E2', 'G#3', 'D5']
51.0	18	1	1.0	0.5	['E#2', 'C#3', 'C#5']
51.5	18	1.33	0.25	0.5	['E#2', 'E#3', 'C#5']
52.0	18	1.67	0.25	0.5	['E#2', 'G#3']
52.5	18	2	0.5	0.5	['F#2', 'C#3']
53.0	18	2.33	0.25	0.5	['F#2', 'F#3']
53.5	18	2.67	0.25	0.5	['F#2', 'A3']
54.0	19	1	1.0	0.5	['A#1', 'A#2', 'E3', 'C#5']
54.5	19	1.33	0.25	0.5	['A#1', 'A#2', 'G3', 'C#5']
55.0	19	1.67	0.25	0.5	['A#1', 'A#2', 'C#4', 'C#5']
