Offset	Measure	Beat	Beat Strength	Length	Pitches
0.0	1	1.0	1.0	0.5	['F2', 'C3', 'F3', 'A4', 'C5', 'F5', 'A5']
0.5	1	1.5	0.125	0.5	['C4', 'A4', 'C5', 'F5', 'A5']
1.0	1	2.0	0.25	0.5	['F4', 'A4', 'C5', 'F5']
1.5	1	2.5	0.125	0.5	['C4', 'C5', 'F5']
2.0	1	3.0	0.5	0.5	['F4', 'A4', 'C5', 'F5', 'C6']
2.5	1	3.5	0.125	0.5	['C4', 'C5', 'F5', 'C6']
3.0	1	4.0	0.25	0.5	['F4', 'A4', 'C5', 'F5', 'C6']
3.5	1	4.5	0.125	0.5	['C4', 'F5']
4.0	2	1.0	1.0	0.5	['A3', 'F4', 'A4', 'F5']
4.5	2	1.5	0.125	0.5	['A3', 'F4', 'A4', 'C5']
5.0	2	2.0	0.25	0.5	['C4', 'G4', 'E5', 'G5']
5.5	2	2.5	0.125	0.5	['C4', 'G4', 'C5']
6.0	2	3.0	0.5	0.5	['F3', 'F4', 'A4', 'C5', 'F5', 'A5']
6.5	2	3.5	0.125	0.5	['C4', 'A4', 'C5', 'F5', 'A5']
7.0	2	4.0	0.25	0.5	['F3', 'F4', 'A4', 'C5', 'F5', 'A5']
7.5	2	4.5	0.125	0.5	['C4', 'A4', 'C5', 'F5', 'A5']
8.0	3	1.0	1.0	0.5	['C3', 'C4', 'A4', 'C5', 'F5', 'A5']
8.5	3	1.5	0.125	0.5	['C4', 'A4', 'C5', 'F5', 'A5']
9.0	3	2.0	0.25	0.5	['F4', 'A4', 'C5', 'F5']
9.5	3	2.5	0.125	0.5	['C4', 'C5', 'F5']
10.0	3	3.0	0.5	0.5	['F4', 'A4', 'C5', 'F5', 'C6']
10.5	3	3.5	0.125	0.5	['C4', 'C5', 'F5', 'C6']
11.0	3	4.0	0.25	0.5	['F4', 'A4', 'C5', 'F5', 'C6']
11.5	3	4.5	0.125	0.5	['C4', 'F5']
12.0	4	1.0	1.0	0.5	['C3', 'C4', 'F5', 'A5']
12.5	4	1.5	0.125	0.5	['C3', 'C4', 'C5']
13.0	4	2.0	0.25	0.5	['C3', 'C4', 'B-4', 'E5', 'G5']
13.5	4	2.5	0.125	0.5	['C3', 'C4', 'C5']
14.0	4	3.0	0.5	0.5	['F2', 'A4', 'C5', 'F5']
14.5	4	3.5	0.125	0.5	['C3', 'A4', 'C5', 'F5']
15.0	4	4.0	0.25	0.5	['F3', 'A4', 'C5', 'F5']
15.5	4	4.5	0.125	0.5	['C3', 'A4', 'C5', 'F5']
16.0	5	1.0	1.0	0.5	['F2', 'C4', 'F4', 'A4']
16.5	5	1.5	0.125	0.5	['C3', 'C4']
17.0	5	2.0	0.25	0.5	['F3', 'A3', 'F4']
17.5	5	2.5	0.125	0.5	['C3', 'C4', 'F4']
18.0	5	3.0	0.5	0.5	['F2', 'F4', 'A4']
18.5	5	3.5	0.125	0.5	['C3', 'C4', 'A4']
19.0	5	4.0	0.25	0.5	['F3', 'A3', 'A4']
19.5	5	4.5	0.125	0.5	['C3', 'C4', 'F4']
20.0	6	1.0	1.0	0.5	['F2', 'F4', 'B-4']
20.5	6	1.5	0.125	0.5	['B-2', 'D4', 'E4']
21.0	6	2.0	0.25	0.5	['F3', 'B-3', 'F4']
21.5	6	2.5	0.125	0.5	['B-2', 'D4', 'G4']
22.0	6	3.0	0.5	0.5	['F2', 'F4', 'A4']
22.5	6	3.5	0.125	0.5	['C3', 'C4', 'A4']
23.0	6	4.0	0.25	0.5	['F3', 'A3', 'F4']
23.5	6	4.5	0.125	0.5	['C3', 'C4', 'F4']
24.0	7	1.0	1.0	0.5	['A2', 'A3', 'C#4', 'A4']
24.5	7	1.5	0.125	0.5	['A2', 'A3', 'E4', 'A4']
25.0	7	2.0	0.25	0.5	['G2', 'G3', 'D4', 'B-4']
25.5	7	2.5	0.125	0.5	['G2', 'G3', 'E4', 'B-4']
26.0	7	3.0	0.5	0.5	['A2', 'A3', 'C#4', 'A4']
26.5	7	3.5	0.125	0.5	['A2', 'A3', 'E4', 'A4']
27.0	7	4.0	0.25	0.5	['A2', 'A3', 'C#4', 'A4']
27.5	7	4.5	0.125	0.5	['A2', 'A3', 'E4', 'A4']
28.0	8	1.0	1.0	0.5	['A2', 'A3', 'C#4', 'A4']
28.5	8	1.5	0.125	0.5	['A2', 'A3', 'E4', 'A4']
29.0	8	2.0	0.25	0.5	['B-2', 'B-3', 'D4', 'G4']
29.5	8	2.5	0.125	0.5	['B-2', 'B-3', 'E4', 'G4']
30.0	8	3.0	0.5	0.5	['A2', 'A3', 'C#4', 'A4']
30.5	8	3.5	0.125	0.5	['A2', 'A3', 'E4', 'A4']
31.0	8	4.0	0.25	0.5	['A2', 'A3', 'C#4', 'A4']
31.5	8	4.5	0.125	0.5	['A2', 'A3', 'E4', 'A4']
32.0	9	1.0	1.0	0.5	['F2', 'F4', 'A4']
32.5	9	1.5	0.125	0.5	['C3', 'C4', 'F4']
33.0	9	2.0	0.25	0.5	['F3', 'A3', 'C4']
33.5	9	2.5	0.125	0.5	['C3', 'C4', 'F4']
34.0	9	3.0	0.5	0.5	['F2', 'F4', 'A4']
34.5	9	3.5	0.125	0.5	['C3', 'C4', 'A4']
35.0	9	4.0	0.25	0.5	['F3', 'A3', 'A4']
35.5	9	4.5	0.125	0.5	['C3', 'C4', 'A4']
36.0	10	1.0	1.0	0.5	['D2', 'F4', 'A4']
36.5	10	1.5	0.125	0.5	['A2', 'D4', 'G#4']
37.0	10	2.0	0.25	0.5	['D3', 'A3', 'A4']
37.5	10	2.5	0.125	0.5	['A2', 'D4', 'B4']
38.0	10	3.0	0.5	0.5	['A1', 'E4', 'A4', 'C5']
38.5	10	3.5	0.125	0.5	['E2', 'C4', 'C5']
39.0	10	4.0	0.25	0.5	['A2', 'A3', 'A4']
39.5	10	4.5	0.125	0.5	['E2', 'C4', 'A4']
40.0	11	1.0	1.0	0.5	['E2', 'E3', 'C#4', 'E4', 'A4', 'C#5']
40.5	11	1.5	0.125	0.5	['A2', 'E4']
41.0	11	2.0	0.25	0.5	['E2', 'E3', 'C#4', 'A4', 'C#5']
41.5	11	2.5	0.125	0.5	['A2', 'E4', 'C#5']
42.0	11	3.0	0.5	0.5	['E2', 'E3', 'C#4', 'A4', 'C#5', 'E5']
42.5	11	3.5	0.125	0.5	['A2', 'E4', 'E5']
43.0	11	4.0	0.25	0.5	['E2', 'E3', 'C#4', 'A4', 'C#5', 'E5']
43.5	11	4.5	0.125	0.5	['A2', 'E4', 'A4']
44.0	12	1.0	1.0	0.5	['E2', 'E3', 'D4', 'G#4', 'B4', 'C#5']
44.5	12	1.5	0.125	0.5	['B2', 'E4', 'C#5']
45.0	12	2.0	0.25	0.5	['E2', 'E3', 'D4', 'G#4', 'B4', 'C#5']
45.5	12	2.5	0.125	0.5	['B2', 'E4', 'B4']
46.0	12	3.0	0.5	0.5	['A2', 'A3', 'C#4', 'A4']
46.5	12	3.5	0.125	0.5	['E3', 'E4', 'A4']
47.0	12	4.0	0.25	0.5	['A2', 'A3', 'C#4', 'A4']
